name,price,stock,category,description
Pommes Gala,2.99,150,Fruits,Pommes croquantes et sucrées, idéales pour les desserts
Pommes Granny Smith,3.49,80,Fruits,Pommes vertes acidulées, parfaites pour les tartes
Bananes Bio,1.99,200,Fruits,Bananes biologiques mûries naturellement
Oranges Navel,4.99,120,Fruits,Oranges juteuses sans pépins
Pain de Campagne,3.49,50,Boulangerie,Pain rustique au levain naturel
Baguette Tradition,1.29,100,Boulangerie,Baguette croustillante cuisson du jour
Croissants,0.99,75,Boulangerie,Croissants pur beurre artisanaux
Pain au Chocolat,1.29,60,Boulangerie,Viennoiserie au chocolat noir
Lait Entier Bio,1.89,90,Produits Laitiers,Lait entier biologique 1L
Yaourt Nature,3.99,150,Produits Laitiers,Pack de 12 yaourts nature
Fromage Comté,12.99,30,Produits Laitiers,Comté AOP affiné 12 mois
Beurre Doux,2.49,80,Produits Laitiers,Beurre doux de baratte
Poulet Fermier,8.99,40,Viandes,Poulet entier label rouge
Steak Haché,6.99,60,Viandes,Viande hachée 15% MG par 4
Saumon Frais,14.99,25,Poissons,Filet de saumon frais Norvège
Tomates Cerises,3.99,100,Légumes,Barquette de tomates cerises bio
Salade Verte,1.49,80,Légumes,Laitue fraîche du jour
Carottes Bio,1.99,120,Légumes,Botte de carottes biologiques
Eau Minérale,0.49,500,Boissons,Bouteille d'eau 1.5L
Jus d'Orange,2.99,100,Boissons,Jus d'orange pressé 1L
Café Moulu,5.99,50,Épicerie,Café arabica moulu 250g
Pâtes Italiennes,1.49,200,Épicerie,Spaghetti qualité supérieure 500g
Riz Basmati,2.99,150,Épicerie,Riz basmati parfumé 1kg
Huile d'Olive,6.99,60,Épicerie,Huile d'olive extra vierge 75cl
